Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 15
  Number of stages for ingress table allocation: 15
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 15 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2857               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2860               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2863               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2922               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2789               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2920               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2921               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2795               |
|   1   |    [ 1, 4 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |    [ 1, 9 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |              tbl_defense4_rrc_bor_sr_probe2798               |
|   1   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3075               |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2924               |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2926               |
|   2   |    [ 2, 3 ]     |                           cond-101                           |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2899               |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2901               |
|   2   |   [ 2, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2904               |
|   2   |    [ 1, 4 ]     |                    Ingress.tbl_build_now                     |
|   2   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3577               |
|   2   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3783               |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   2   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   3   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_bor_cands                  |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2943               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2947               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2953               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2969               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2964               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2966               |
|   5   |    [ 5, 6 ]     |                   Ingress.tbl_state_decode                   |
|   5   |    [ 5, 6 ]     |                    Ingress.tbl_txn_active                    |
|   6   |    [ 6, 7 ]     |              tbl_defense4_rrc_bor_sr_probe2994               |
|   6   |    [ 6, 9 ]     |              tbl_defense4_rrc_bor_sr_probe3062               |
|   6   |    [ 6, 9 ]     |              tbl_defense4_rrc_bor_sr_probe3065               |
|   6   |   [ 6, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3039               |
|   6   |   [ 6, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3045               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3029               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3021               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3023               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3014               |
|   7   |    [ 7, 9 ]     |              tbl_defense4_rrc_bor_sr_probe3012               |
|   8   |    [ 8, 9 ]     |                   Ingress.tbl_tresp_expiry                   |
|   8   |    [ 8, 9 ]     |                   Ingress.tbl_topj_expiry                    |
|   8   |    [ 8, 9 ]     |                 Ingress.tbl_deadline_expiry                  |
|   8   |   [ 8, 10 ]     |                           cond-119                           |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3095               |
|   8   |   [ 8, 10 ]     |                           cond-121                           |
|   8   |   [ 8, 10 ]     |                           cond-128                           |
|   8   |   [ 8, 10 ]     |                           cond-134                           |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3179               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3115               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3119               |
|   8   |   [ 8, 10 ]     |                           cond-138                           |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3128               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3285               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3216               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3288               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3307               |
|   9   |   [ 8, 10 ]     |                           cond-146                           |
|   9   |   [ 8, 10 ]     |                           cond-150                           |
|   9   |   [ 8, 10 ]     |                           cond-154                           |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3469               |
|   9   |   [ 8, 10 ]     |                           cond-156                           |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3437               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3403               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3517               |
|   9   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3408               |
|   9   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3446               |
|   9   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3488               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3475               |
|   9   |   [ 8, 10 ]     |                           cond-163                           |
|   9   |   [ 8, 10 ]     |                           cond-139                           |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3223               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3363               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3386               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3390               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3544               |
|  10   |   [ 8, 10 ]     |             tbl_defense4_rrc_bor_sr_probe3544_0              |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3479               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3483               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3492               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3497               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3450               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3454               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3413               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3417               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3137               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3266               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3276               |
|  11   |   [ 8, 10 ]*    |             tbl_defense4_rrc_bor_sr_probe3276_0              |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3329               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3333               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3354               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3560               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3291               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3300               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3566               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3348               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3335               |
|  11   |   [ 8, 11 ]     |                       tbl_arm_clone_0                        |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3331               |
|  11   |   [ 8, 11 ]     |                        tbl_arm_clone                         |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3277               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3145               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3148               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3547               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3548               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3369               |
|  12   |   [ 8, 11 ]*    |                       tbl_arm_clone_1                        |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3371               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3379               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3231               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3232               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3527               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3529               |
|  12   |   [ 10, 11 ]*   |                   Ingress.tbl_tm_dispatch                    |
|  12   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3576               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3575               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3574               |
+-------+-----------------+--------------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

Table allocation done 4 time(s), state = NOCC_TRY2
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 11
Invoking table placement without metadata initialization because container conflict-free table placement required 13 stages.
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 2 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 2 ]     |                           cond-93                            |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2869               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2875               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2886               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2855               |
|   0   |   [ 0, 10 ]     |                           cond-171                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3758               |
|   0   |   [ 0, 10 ]     |                           cond-173                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3769               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3775               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3778               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3764               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2785               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2857               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2860               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2863               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2922               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2789               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2920               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2921               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2795               |
|   1   |    [ 1, 4 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |    [ 1, 9 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |              tbl_defense4_rrc_bor_sr_probe2798               |
|   1   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3075               |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2924               |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2926               |
|   2   |    [ 2, 3 ]     |                           cond-101                           |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2899               |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2901               |
|   2   |   [ 2, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2904               |
|   2   |    [ 1, 4 ]     |                    Ingress.tbl_build_now                     |
|   2   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3577               |
|   2   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3783               |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   2   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   3   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_bor_cands                  |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2943               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2947               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2953               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2969               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2964               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2966               |
|   5   |    [ 5, 6 ]     |                   Ingress.tbl_state_decode                   |
|   5   |    [ 5, 6 ]     |                    Ingress.tbl_txn_active                    |
|   6   |    [ 6, 7 ]     |              tbl_defense4_rrc_bor_sr_probe2994               |
|   6   |    [ 6, 9 ]     |              tbl_defense4_rrc_bor_sr_probe3062               |
|   6   |    [ 6, 9 ]     |              tbl_defense4_rrc_bor_sr_probe3065               |
|   6   |   [ 6, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3039               |
|   6   |   [ 6, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3045               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3029               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3021               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3023               |
|   7   |    [ 7, 8 ]     |              tbl_defense4_rrc_bor_sr_probe3014               |
|   7   |    [ 7, 9 ]     |              tbl_defense4_rrc_bor_sr_probe3012               |
|   8   |    [ 8, 9 ]     |                   Ingress.tbl_tresp_expiry                   |
|   8   |    [ 8, 9 ]     |                   Ingress.tbl_topj_expiry                    |
|   8   |    [ 8, 9 ]     |                 Ingress.tbl_deadline_expiry                  |
|   8   |   [ 8, 10 ]     |                           cond-119                           |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3095               |
|   8   |   [ 8, 10 ]     |                           cond-121                           |
|   8   |   [ 8, 10 ]     |                           cond-128                           |
|   8   |   [ 8, 10 ]     |                           cond-134                           |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3179               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3115               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3119               |
|   8   |   [ 8, 10 ]     |                           cond-138                           |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3128               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3285               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3216               |
|   8   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3288               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3307               |
|   9   |   [ 8, 10 ]     |                           cond-146                           |
|   9   |   [ 8, 10 ]     |                           cond-150                           |
|   9   |   [ 8, 10 ]     |                           cond-154                           |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3469               |
|   9   |   [ 8, 10 ]     |                           cond-156                           |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3437               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3403               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3517               |
|   9   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3408               |
|   9   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3446               |
|   9   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3488               |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3475               |
|   9   |   [ 8, 10 ]     |                           cond-163                           |
|   9   |   [ 8, 10 ]     |                           cond-139                           |
|   9   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3223               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3363               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3386               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3390               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3544               |
|  10   |   [ 8, 10 ]     |             tbl_defense4_rrc_bor_sr_probe3544_0              |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3479               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3483               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3492               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3497               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3450               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3454               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3413               |
|  10   |   [ 9, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3417               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3137               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3266               |
|  10   |   [ 8, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3276               |
|  11   |   [ 8, 10 ]*    |             tbl_defense4_rrc_bor_sr_probe3276_0              |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3329               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3333               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3354               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3560               |
|  11   |   [ 8, 10 ]*    |              tbl_defense4_rrc_bor_sr_probe3291               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3300               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3566               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3348               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3335               |
|  11   |   [ 8, 11 ]     |                       tbl_arm_clone_0                        |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3331               |
|  11   |   [ 8, 11 ]     |                        tbl_arm_clone                         |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3277               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3145               |
|  11   |   [ 8, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3148               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3547               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3548               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3369               |
|  12   |   [ 8, 11 ]*    |                       tbl_arm_clone_1                        |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3371               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3379               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3231               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3232               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3527               |
|  12   |   [ 8, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3529               |
|  12   |   [ 10, 11 ]*   |                   Ingress.tbl_tm_dispatch                    |
|  12   |   [ 10, 11 ]*   |              tbl_defense4_rrc_bor_sr_probe3576               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3575               |
|  12   |   [ 9, 11 ]*    |              tbl_defense4_rrc_bor_sr_probe3574               |
+-------+-----------------+--------------------------------------------------------------+

NOTES:  - A '*' next to the min / max stage column indicates the table is placed outside its allowed scope

Table allocation done 5 time(s), state = REDO_PHV2
Number of stages in table allocation: 13
  Number of stages for ingress table allocation: 13
  Number of stages for egress table allocation: 3
Critical path length through the table dependency graph: 11
Number of tables allocated: 143
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 2 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 2 ]     |                           cond-93                            |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2869               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2875               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2886               |
|   0   |    [ 0, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2855               |
|   0   |   [ 0, 10 ]     |                           cond-171                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3758               |
|   0   |   [ 0, 10 ]     |                           cond-173                           |
|   0   |   [ 0, 10 ]     |              tbl_defense4_rrc_bor_sr_probe3769               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3775               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3778               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3764               |
|   0   |   [ 0, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2785               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2857               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2860               |
|   1   |    [ 1, 2 ]     |              tbl_defense4_rrc_bor_sr_probe2863               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2922               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2789               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2920               |
|   1   |    [ 1, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2921               |
|   1   |    [ 0, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2795               |
|   1   |    [ 1, 4 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |    [ 1, 9 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |              tbl_defense4_rrc_bor_sr_probe2798               |
|   1   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3075               |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2924               |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2926               |
|   2   |    [ 2, 3 ]     |                           cond-101                           |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2899               |
|   2   |    [ 2, 3 ]     |              tbl_defense4_rrc_bor_sr_probe2901               |
|   2   |   [ 2, 11 ]     |              tbl_defense4_rrc_bor_sr_probe2904               |
|   2   |    [ 1, 4 ]     |                    Ingress.tbl_build_now                     |
|   2   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3577               |
|   2   |   [ 1, 11 ]     |              tbl_defense4_rrc_bor_sr_probe3783               |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   2   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   3   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_bor_cands                  |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2943               |
|   4   |    [ 4, 5 ]     |              tbl_defense4_rrc_bor_sr_probe2947               |
