Table allocation done 1 time(s), state = INITIAL
Number of stages in table allocation: 14
  Number of stages for ingress table allocation: 14
  Number of stages for egress table allocation: 4
Critical path length through the table dependency graph: 11
Invoking table placement without container conflicts because first round of table placement required 14 stages.
Number of tables allocated: 139
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
Invoking table placement without metadata initialization because container conflict-free table placement required 13 stages.
Number of tables allocated: 139
+-------+-----------------+--------------------------------------------------------------+
| Stage | Min / Max Stage |                          Table Name                          |
+-------+-----------------+--------------------------------------------------------------+
|   0   |    [ -, - ]     |                  Ingress.tbl_build_exp_ack                   |
|   0   |    [ 0, 1 ]     |                     Ingress.tbl_session                      |
|   0   |    [ 0, 2 ]     |                      Ingress.tbl_params                      |
|   0   |    [ 0, 2 ]     |                           cond-89                            |
|   0   |    [ 0, 2 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2871         |
|   0   |    [ 0, 2 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2877         |
|   0   |    [ 0, 2 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2888         |
|   0   |    [ 0, 2 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2857         |
|   0   |   [ 0, 10 ]     |                           cond-163                           |
|   0   |   [ 0, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3762         |
|   0   |   [ 0, 10 ]     |                           cond-165                           |
|   0   |   [ 0, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3773         |
|   0   |   [ 0, 11 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3779         |
|   0   |   [ 0, 11 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3782         |
|   0   |   [ 0, 11 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3768         |
|   0   |   [ 0, 11 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2787         |
|   1   |    [ 1, 2 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2859         |
|   1   |    [ 1, 2 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2862         |
|   1   |    [ 1, 2 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2865         |
|   1   |    [ 1, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2924         |
|   1   |    [ 0, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2791         |
|   1   |    [ 1, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2922         |
|   1   |    [ 1, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2923         |
|   1   |    [ 0, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2797         |
|   1   |    [ 1, 4 ]     |                   Ingress.tbl_bor_codebook                   |
|   1   |    [ 1, 9 ]     |                  Ingress.tbl_build_do_shape                  |
|   1   |    [ 0, 9 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2800         |
|   1   |   [ 1, 11 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3077         |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_3          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_2          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_1          |
|   1   |   [ 1, 11 ]     |          egress_reset_invalidated_checksum_fields_0          |
|   2   |    [ 2, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2926         |
|   2   |    [ 2, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2928         |
|   2   |    [ 2, 3 ]     |                           cond-97                            |
|   2   |    [ 2, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2901         |
|   2   |    [ 2, 3 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2903         |
|   2   |   [ 2, 11 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2906         |
|   2   |    [ 1, 4 ]     |                    Ingress.tbl_build_now                     |
|   2   |   [ 1, 11 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3787         |
|   2   |   [ 1, 11 ]     | egresshdr.ipv4.hdr_checksum_encode_update_condition_2_egress |
|   2   |   [ 1, 11 ]     |   egresshdr.tcp.checksum_encode_update_condition_3_egress    |
|   3   |    [ 3, 4 ]     |                  Ingress.tbl_resp_authorise                  |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_cand_resp                  |
|   3   |    [ 2, 5 ]     |                    Ingress.tbl_build_cand                    |
|   3   |    [ 2, 5 ]     |                 Ingress.tbl_build_bor_cands                  |
|   4   |    [ 4, 5 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2945         |
|   4   |    [ 4, 5 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2949         |
|   4   |    [ 4, 5 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2955         |
|   4   |    [ 4, 5 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2971         |
|   4   |    [ 4, 5 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2966         |
|   4   |    [ 4, 5 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2968         |
|   5   |    [ 5, 6 ]     |                   Ingress.tbl_state_decode                   |
|   5   |    [ 5, 6 ]     |                    Ingress.tbl_txn_active                    |
|   6   |    [ 6, 7 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe2996         |
|   6   |   [ 6, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3041         |
|   6   |   [ 6, 10 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3047         |
|   7   |    [ 7, 8 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3031         |
|   7   |    [ 7, 8 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3023         |
|   7   |    [ 7, 8 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3025         |
|   7   |    [ 7, 8 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3016         |
|   7   |    [ 7, 9 ]     |         tbl_defense4_rrc_bor_stagerecovery_probe3014         |
|   8   |    [ 8, 9 ]     |                   Ingress.tbl_topj_expiry                    |
|   8   |    [ 8, 9 ]     |                   Ingress.tbl_tresp_expiry                   |
